IATA,Terminal
FEI,Eagle Air Iceland
EGU,Eagle Aviation
GYP,Eagle Aviation
EGN,Eagle Aviation France
SEG,Eagle International
EGJ,Eagle Jet Charter
EMD,Eaglemed (Ballard Aviation)
ERX,Earth Airlines Services
UGX,East African
HSA,East African Safari Air
EXZ,East African Safari Air Express
EMU,East Asia Airlines
ECT,East Coast Airways
ECJ,East Coast Jets
EHA,East Hampton Aire
EKC,East Kansas City Aviation
CTK,East Midlands Helicopters
DXH,East Star Airlines
EWA,East-West Airlines
EAZ,Eastern Air
EAX,Eastern Air Executive
EZE,Eastern Airways
EAQ,Eastern Australia Airlines
ECI,Eastern Carolina Aviation
GNS,Eastern Executive Air Charter
LIS,Eastern Express
EME,Eastern Metro Express
EPB,Eastern Pacific Aviation
ESJ,Eastern Sky Jets
ELA,Eastland Air
SGR,Eastwind Airlines
FYE,Easy Link Aviation Services
CMN,Eckles Aircraft
EJT,Eclipse Aviation
ECQ,Eco Air
DEI,Ecoair
ECX,Ecomex Air Cargo
ECD,Ecotour
XCC,Ecoturistica de Xcalak
ECV,Ecuatoguineana De Aviacion (EGA)
EQC,Ecuatorial Cargo
ECU,Ecuavia
EDW,Edelweiss Air
SLO,Edgartown Air
EDC,Edinburgh Air Charter
EDJ,Edwards Jet Center of Montana
EIJ,Efata Papua Airlines
MSR,Egyptair
MSX,Egyptair Cargo
EGY,Egyptian Air Force
EJX,Egyptian Aviation
EMA,Egyptian Aviation Company
EIX,Ei Air Exports
EIR,Eirjet
ELY,El Al Israel Airlines
CMX,El Caminante Taxi Aereo
GLQ,El Quilada International Aviation
ELS,El Sal Air
ESC,El Sol De America
BRQ,El-Buraq Air Transport
ELX,Elan Express
LBR,Elbe Air Transport
NLK,Elbrus-Avia Air Enterprise
DND,Eldinder Aviation
PDV,Elicar
EDO,Elidolomiti
ELB,Elieuro
EFG,Elifriulia
ELH,Elilario Italia
EOA,Elilombarda
MEE,Elimediterranea
VUL,Elios
IEP,Elipiu'
RSA,Elisra Airlines
EAI,Elite Air
EJD,Elite Jets
FGS,Elitellina
ELT,Elliott Aviation
MGG,Elmagal Aviation Services
ELR,Elrom Aviation and Investments
EAM,Embassy Airlines
EFT,Embassy Freight Company
EMB,Empresa Brasileira De Aeronautica
XSL,Embry-Riddle Aeronautical University
JEM,Emerald Airways
EWW,Emery Worldwide Airlines
EMT,Emetebe
UAE,Emirates
SBC,Emoyeni Air Charter
EMP,Empire Air Service
CFS,Empire Airlines
MPR,Empire Aviation Services
ETP,Empire Test Pilots' School
AUO,Empresa (Aero Uruguay)
PRG,Empresa Aero-Servicios Parrague
CRN,Empresa Aerocaribbean
VNA,Empresa Aviacion Interamericana
EEA,Empresa Ecuatoriana De Aviacion
CNI,Empresa Nacional De Servicios Aereos
VNE,Empresa Venezolana
GTV,Empresa de Aviacion Aerogaviota
XLT,Empressa Brasileira de Infra-Estrutura Aeroportuaria-Infraero
ENC,Endecots
ENI,Enimex
ENK,Enkor JSC
EGV,Enrique Gleisner Vivanco
ESE,Ensenada Vuelos Especiales
ENS,Entergy Services
EWS,Enterprise World Airways
ESS,Eos Airlines
EKA,Equaflight Service
EQZ,Equatair Air Services (Zambia)
EQT,Equatorial Airlines
ERH,Era Helicopters
IRY,Eram Air
ERF,Erfoto
ERE,Erie Airways
ERT,Eritrean Airlines
CTV,Escuela De Pilotos Are Aviacion
EPC,Espace Aviation Services
ERC,Esso Resources Canada
ESF,Estafeta Carga Aerea
ELL,Estonian Air
ETA,Estrellas Del Aire
ETH,Ethiopian Airlines
MJM,Eti 2000
ETD,Etihad Airways
ETM,Etram Air Wing
EVN,Euraviation
ECN,Euro Continental AIE
,Euro Exec Express
ESN,Euro Sun
EAK,Euro-Asia Air
KZE,Euro-Asia Air International
MMZ,EuroAtlantic Airways
GOJ,EuroJet Aviation
EUP,Euroair
EUU,Euroamerican Air
ECY,Euroceltic Airways
EUC,Eurocontrol
ECF,Eurocopter
ECA,Eurocypria Airlines
EEZ,Eurofly
EEU,Eurofly Service
EUG,Euroguineana de Aviacion
ERJ,Eurojet Italia
JLN,Eurojet Limited
RDP,Eurojet Romania
EJS,Eurojet Servis
ELO,Eurolot
EMX,Euromanx Airways
GED,Europe Air Lines
FPO,Europe Airpost
EUT,European 2000 Airlines
EAG,European Aeronautical Group UK
EAL,European Air Express
BCS,European Air Transport
EAF,European Aviation Air Charter
EBJ,European Business Jets
ECB,European Coastal Airlines
ETV,European Executive
EXC,European Executive Express
EBG,Eurosense
ESX,Euroskylink
EWG,Eurowings
EIA,Evergreen International Airlines
VTS,Everts Air Alaska/Everts Air Cargo
EMN,Examiner Training Agency
XLA,Excel Airways
XEL,Excel Charter
GZA,Excellent Air
EXA,Execair Aviation
VCN,Execujet Charter
EJO,Execujet Middle East
VMP,Execujet Scandinavia
EAS,Executive Aerospace
LFL,Executive Air
EAC,Executive Air Charter
XAF,Executive Air Fleet
ECS,Executive Aircraft Charter and Charter Services
XAH,Executive Aircraft Services
EXK,Executive Airlines
EXU,Executive Airlines
JTR,Executive Aviation Services
EXE,Executive Flight
TRI,Executive Flight Operations Ontario Government
EXJ,Executive Jet Charter
EJM,Executive Jet Management
TEA,Executive Turbine Aviation
EXF,Eximflight
EXN,Exin
EXR,Expertos En Carga
EXV,Expo Aviation
FXA,Express Air
EIC,Express International Cargo
XPL,Express Line Aircompany
XNA,Express Net Airlines
LHN,Express One International
XTO,Express Tours
BTA,ExpressJet
JTM,Exxavia Limited
EZY,easyJet
EJA,NetJets
EYE,F.S. Air Service
IFA,FAI Airservice
FLC,FINFO Flight Inspection Aircraft
FKI,FLM Aviation Mohrdieck
DCM,FLTPLAN
FLW,FLowair Aviation
FMG,FMG Verkehrsfliegerschule Flughafen Paderborn-Lippstadt
FRA,FR Aviation
FSB,FSB Flugservice & Development
LEJ,FSH Luftfahrtunternehmen
FBA,Fab Air
FCS,Facts Air
FAV,Fair Aviation
FWD,Fair Wind Air Charter
FLS,Fairlines
FFC,Fairoaks Flight Centre
FWY,Fairways Corporation
FCN,Falcon Air
FAR,Falcon Air
FAO,Falcon Air Express
FAU,Falcon Airline
,Falcon Aviation
FVS,Falcon Aviation Services
FJC,Falcon Jet Centre
FAW,Falwell Aviation
EFA,Far Eastern Air Transport
FDL,Farmingdale State University
FAH,Farnair Hungary
FRN,Farnair Netherlands
FAT,Farnair Switzerland
RAF,Farnas Aviation Services
HBL,Faroecopter
RCK,Faroejet
FRW,Farwest Airlines
FSW,Faso Airways
FHL,Fast Helicopters
FAY,Fayban Air Services
SKM,Fayetteville Flying Service and Scheduled Skyways System
FDR,Federal Air
FLL,Federal Airlines
DCN,Federal Armed Forces
FRM,Federal Armored Service
NHK,Federal Aviation Administration
FDX,Federal Express
FNK,Feniks Airline
FER,Feria Aviacion
HGK,Fika Salaama Airlines
FNC,Finalair Congo
FAK,Financial Airxpress
FBF,Fine Airlines
FTR,Finist'air
FIN,Finnair
WBA,Finncomm Airlines
FNF,Finnish Air Force
FFM,Firefly
FAB,First Air
JRF,First Air Transport
FCC,First Cambodia Airlines
FCA,First Choice Airways
MBL,First City Air
GGA,First Flying Squadron
FIR,First Line Air
FTS,First Sabre
FFR,Fischer Air
FFP,Fischer Air Polska
FSX,Flagship Express Services
FLE,Flair Airlines
WAF,Flamenco Airways
FMR,Flamingo Air
FLN,Flamingo Air-Line
FSH,Flash Airlines
BWY,Fleet Requirements Air Direction Unit
FLR,Fleetair
FXY,Flexair
FXT,Flexflight
TUD,Flight Alaska
FCK,Flight Calibration Service
FCV,Flight Centre Victoria
FCP,Flight Corporation
FDP,Flight Dispatch Services
FLX,Flight Express
CFI,Flight Inspection Center of the General Administration of Civil Aviation in China
LTS,Flight Inspections and Systems
IVJ,Flight International
MIT,Flight Line
FOI,Flight Ops International
OPT,Flight Options
CLB,Flight Precision Limited
FSL,Flight Safety Limited
FSU,Flight Support Sweden
CCK,Flight Trac
AYR,Flight Training Europe
FWQ,Flight West Airlines
KLO,Flight-Ops International
CSK,Flightcraft
FEX,Flightexec
FLT,Flightline
FPS,Flightpass Limited
FSR,Flightstar Corporation
KDZ,Flightworks
FAZ,Flint Aviation Services
OJY,Florida Air
FCL,Florida Coastal Airlines
FFS,Florida Department of Agriculture
FJS,Florida Jet Service
FWL,Florida West International Airways
FFG,Flugdienst Fehlhaber
FLU,Flugschule Basel
EZB,Flugschule Eichenberger
FWZ,Flugwerkzeuge Aviation Software
FLM,Fly Air
FCT,Fly CI Limited
FEE,Fly Europa Limited
FXL,Fly Excellent
NVJ,Fly International Airways
FIL,Fly Line
FLY,Fly Me Sweden
IAD,Fly Wex
XAX,AirAsia X
LIL,FlyLal
NDC,FlyNordic
BBO,Flybaboo
BEE,Flybe
FCE,Flycolumbia
FLO,Flycom
GVG,Flygaktiebolaget Gota Vingar
GSM,Flyglobespan
FPA,Flygprestanda
ETS,Flygtransporter I Nykoping
INU,Flyguppdraget Backamo
FYH,Flyhy Cargo Airlines
FCR,Flying Carpet Company
FYG,Flying Service
FGP,Flying-Research Aerogeophysical Center
FLK,Flylink Express
FTM,Flyteam Aviation
FKS,Focus Air
FOP,Fokker
NOF,Fonnafly
FOB,Ford Motor Company
FOS,Formosa Airlines
FOR,Formula One Management
FHS,Forth and Clyde Helicopter Services
FXC,Fortunair Canada
,Forward Air International Airlines
FSA,Foster Aviation
JFY,Foster Yeoman
FTE,Fotografia F3
FIA,Four Island Air
FSC,Four Star Aviation / Four Star Cargo
WDS,Four Winds Aviation
FXR,Foxair
FDO,France Douanes
FHY,Free Bird Airlines
FOM,Freedom Air
FRE,Freedom Air
FFF,Freedom Air Services
FRL,Freedom Airlines
FAS,Freedom Airways
FWC,Freeway Air
FRG,Freight Runners Express
FAF,Force Aerienne Francaise
FMY,Aviation Legere De L'Armee De Terre
FNY,France Marine Nationale
FRR,Fresh Air
FAE,Freshaer
FAL,Friendship Air Alaska
FLF,Friendship Airlines
FGY,Froggy Corporate Aviation
FFT,Frontier Airlines
ITR,Frontier Commuter
FTA,Frontier Flying Service
FNG,Frontier Guard
FUJ,Fujairah Aviation Centre
CFJ,Fujian Airlines
GAX,Full Express
FAM,Fumigacion Aerea Andaluza
FFY,Fun Flying Thai Air Service
ROG,Fundació Rego
FUN,Funtshi Aviation Service
FGL,Futura Gael
FUA,Futura International Airways
GML,G & L Aviation
EXH,G5 Executive
MTA,GAK/Mitchell Aero
GGS,GATSA
GBX,GB Airlink
GBL,GB Airways
GCS,GCS Air Service
FFU,GEC Marconi Avionics
GCC,GECAS
GEN,GENSA
GET,GETRA
GFW,GFW Aviation
GHI,GH Stansted Limited
GMG,GM Helicopters
GPE,GP Express Airlines
GPR,GPM Aeroservicio
GIB,GR-Avia
BMK,GST Aero Aircompany
GTX,GTA Air
GAH,Ga-Ma Helicoptere
GBE,Gabon Express
GRT,Gabon-Air-Transport
GIG,Gacela Air Cargo
GFC,Gail Force Express
GNJ,Gain Jet Aviation
SWF,Galair International
GLS,Galaircervis
GAL,Galaxy Air
GXY,Galaxy Airlines
GAS,Galena Air Service
,Galileo International
GMA,Gama Aviation
GNR,Gambia International Airlines
NML,Gambia New Millennium Air
GMJ,Gamisa Aviacion
GNF,Gandalf Airlines
GAN,Gander Aviation
GSA,Garden State Airlines
AHM,Garrison Aviation
GIA,Garuda Indonesia
GHS,Gatari Hutama Air Services
EGO,Gauteng Air Cargo
GVN,Gavina
GZP,Gazpromavia
GEE,Geesair
GCO,Gemini Air Cargo
GAB,Gendall Air
GDB,Gendarmerie Belge
FGN,Gendarmie Nationale
SWK,General Aerospace
GWS,General Airways
GNZ,General Aviation
GTH,General Aviation Flying Services
XGA,General Aviation Terminal
GMC,General Motors
GNX,Genex
GSL,Geographic Air Surveys
TGZ,Georgian Airways
FGA,Georgian Aviation Federation
GGF,Georgian Cargo Airlines Africa
GFG,Georgian National Airlines
GPL,DLR
GAF,German Air Force
GAM,German Army
GNY,German Navy
GHY,German Sky Airlines
GMI,Germania
GWI,Germanwings
GDN,Gerry's Dnata
GFD,Gesekkschaft Fur Flugzieldarstellung
GES,Gestair
GTR,Gestar
GJT,Gestion Aerea Ajecutiva
GHT,Ghadames Air Transport
GHA,Ghana Airways
GHB,Ghana International Airlines
NTC,Gibson Aviation
RPS,Global Air Charter
GAG,Global Air Operations
GBS,Global Air Services Nigeria
GLC,Global Aircargo
BSP,Global Airways
GBB,Global Aviation Operations
GAK,Global Aviation and Services Group
GGZ,Global Georgian Airways
GLJ,Global Jet Austria
NSM,Global Jet Corporation
SVW,Global Jet Luxembourg
GSK,Global Sky Aircharter
GSS,Global Supply Systems
XGS,Global System
XGW,Global Weather Dynamics
GLW,Global Wings
GJA,Globe Jet
GOW,Go Air
,Go One Airways
GJS,GoJet Airlines
GGE,Gobierno De Guinea Ecuatorial
GOF,Gof-Air
GOI,Gofir
GLO,Gol Transportes Aéreos
GBT,Gold Belt Air Transport
GDA,GoldAir
GDK,Goldeck-Flug
GAO,Golden Air
GDD,Golden Airlines
GPA,Golden Pacific Airlines
GRS,Golden Rule Airlines
GLD,Golden Star Air Cargo
GOS,Goldfields Air Services
GAQ,Golfe Air Quebec
GLE,Goliaf Air
GOM,Gomel Airlines
RDR,Goodridge (UK) Limited
IKA,Gorkha Airlines
GOR,Gorlitsa Airlines
HKG,Government Flying Service
GRZ,Government of Zambia Communications Flight
HLD,Grampian Flight Centre
GAV,Granada Aviacion
GAE,Grand Aire Express
GND,Grand Airways
CVU,Grand Canyon Airlines
GUN,Grant Aviation
LMK,Grantex Aviation
GRA,Great American Airways
GLA,Great Lakes Airlines
GLU,Great Lakes Airways (Uganda)
GRP,Great Plains Airlines
GWL,Great Wall Airlines
GWA,Great Western Air
HAF,Hellenic Air Force
HNA,Greek Navy
GFF,Griffin Aviation
GXA,Grixona
GZD,Grizodubova Air Company
HTG,Grossmann Air Service
GSJ,Grossmann Jet Service
GHV,Ground Handling Service de Mexico
GPM,Grup Air-Med
EJC,Grupo De Aviacion Ejecutiva
TAT,Grupo TACA
VMM,Grupo Vuelos Mediterraneo
GMT,Grupoaereo Monterrey
GSY,Guard Systems
BSR,Guine Bissaur Airlines
GIJ,Guinea Airways
GNC,Guinea Cargo
GIF,Guinee Airlines
GEA,Guinea Ecuatorial Airlines
GIQ,Guinee Paramount Airlines
CGH,Guizhou Airlines
GUS,Guja
GUJ,Gujarat Airways
TSU,Gulf & Caribbean Cargo / Contract Air Cargo
GUF,Gulf African Airlines - Gambia
GFA,Gulf Air
GBA,Gulf Air Bahrain
GAT,Gulf Air Inc
GCN,Gulf Central Airlines
SFY,Gulf Flite Center
GPC,Gulf Pearl Air Lines
GLF,Gulfstream Aerospace
GFS,Gulfstream Airlines
GFT,Gulfstream International Airlines
GUL,Gull Air
GUM,Gum Air
GDH,Guneydogu Havacilik Isletmesi
,Guyana Airways 2000
GWN,Gwyn Aviation
HLA,HC Airlines
HWD,HPM Investments
KTR,HT Helikoptertransport
AHT,HTA Helicopteros
FMS,Hadison Aviation
HAG,Hageland Aviation Services
POW,Hagondale Limited
HHN,Hahn Air
CHH,Hainan Airlines
,Hainan Phoenix Information Systems
HLS,Haiti Air Freight
HAM,Haiti Ambassador Airlines
HTI,Haiti International Air
HRB,Haiti International Airline
HNR,Haiti National Airlines (HANA)
HTN,Haiti North Airline
HTC,Haiti Trans Air
HBC,Haitian Aviation Line
HAJ,Hajvairy Airlines
HKL,Hak Air
HLH,Hala Air
HCN,Halcyon Air/Bissau Airways
HHI,Hamburg International
HJL,Hamlin Jet
HMM,Hamra Air
WVA,Hand D Aviation
HGR,Hangar 8
HGD,Hangard Aviation
HAN,Hansung Airlines
HLX,TUIfly
HLF,Hapagfly
HAR,Harbor Airlines
HMY,Harmony Airways
NBR,Haughey Air
PYN,Haverfordwest Air Charter Services
HAV,Havilah Air Services
HAL,Hawaiian Airlines
,Hawaiian Pacific Airlines
HKR,Hawk Air
HMX,Hawk De Mexico
,Hawkair
HKI,Hawkaire
HZL,Hazelton Airlines
HVY,Heavylift Cargo Airlines
HVL,Heavylift International
HDC,Helcopteros De Cataluna
HCB,Helenair (Barbados)
HCL,Helenair Corporation
HHP,Helenia Helicopter Service
HLR,Heli Air Services
ALJ,Heli Ambulance Team
HEB,Heli Bernina
HFR,Heli France
HYH,Heli Hungary
HLM,Heli Medwest De Mexico
HLI,Heli Securite
HTP,Heli Trip
HLU,Heli Union Heli Prestations
MCM,Heli-Air-Monaco
HHE,Heli-Holland
HRA,Heli-Iberica
HIF,Heli-Iberica Fotogrametria
HIG,Heli-Inter Guyane
HLK,Heli-Link
HMC,Heliamerica De Mexico
HEA,Heliavia-Transporte Aereo
CDY,Heliaviation Limited
HIB,Helibravo Aviacao
HLC,Helicap
COV,Helicentre Coventry
HEL,Helicol
HCP,Helicopter
JKY,Helicopter & Aviation Services
MVK,Helicopter Training & Hire
HAP,Helicopteros Aero Personal
HAA,Helicopteros Agroforestal
HNT,Helicopteros Internacionales
HEN,Helicopteros Y Vehiculos Nacionales Aereos
HHH,Helicsa
JBA,Helijet
HDR,Helikopterdrift
SCO,Helikopterservice Euro Air
OCE,Heliocean
HCY,Helios Airways
HLP,Helipistas
HPL,Heliportugal
HEC,Heliservicio Campeche
HSU,Helisul
HSI,Heliswiss
HLT,Helitafe
HIT,Helitalia
OFA,Helitaxi Ofavi
HTA,Helitrans
HTS,Helitrans Air Service
HLW,Heliworks
HEJ,Hellas Jet
FHE,Hello
HLG,Helog
OAW,Helvetic Airways
HMS,Hemus Air
HAC,Henebury Aviation
SSH,Heritiage Flight (Valley Air Services)
MRX,Herman's Markair Express
HED,Herritage Aviation Developments
ALX,Hewa Bora Airways
HER,Hex'Air
HHS,Hi-Jet Helicopter Services
HFY,Hi Fly
HLB,High-Line Airways
HWY,Highland Airways
HIS,Hispaniola Airways
HGA,Hogan Air
NTH,Hokkaido Air System
ADO,Hokkaido International Airlines
ABH,Hokuriki-Koukuu Company
HOA,Hola Airlines
HIN,Holding International Group
HOL,Holiday Airlines
HTR,Holstenair Lubeck
HMV,Homac Aviation
HAS,Honduras Airlines
CRK,Hong Kong Airlines
HKE,Hong Kong Express Airways
HEX,Honiara Cargo Express
HPJ,Hop-A-Jet
,Hope Air
QXE,Horizon Air
KOK,Horizon Air Service
HSM,Horizon Air for Transport and Training
HOR,Horizon Air-Taxi
HZA,Horizon Airlines
HPS,Horizon Plus
HUD,Horizons Unlimited
HOZ,Horizontes Aereos
HDI,Hoteles Dinamicos
HHO,Houston Helicopters
GGV,Houston Jet Services
OZU,Hozu-Avia
HUB,Hub Airlines
HUS,Huessler Air Service
GMH,Hughes Aircraft Company
WHR,Hummingbird Helicopter Service
HUV,Hunair Hungarian Airlines
HUF,Hungarian Air Force
HYA,Hyack Air
HYC,Hydro Air Flight Operations
HYD,Hydro-Québec
,Héli Sécurité Helicopter Airlines
ITC,International Air Carrier Association
CSQ,IBC Airways
IBL,IBL Aviation
BBL,IBM Euroflight Operations
YYY,ICAO
,ICAR Airlines
CIC,ICC Canada
IDG,IDG Technology Air
IFL,IFL Group
RDE,II Lione Alato Arl
IJM,IJM International Jet Management
IKK,IKI International Airlines
IKN,IKON FTO
BLU,IMP Aviation Services
XGG,IMP Group Aviation Services
,INFINI Travel Information
IPA,IPEC Aviation
IPM,IPM Europe
LVB,IRS Airlines
ISD,ISD Avia
,ITA Software
FDF,IVV Femida
IBE,Iberia Airlines
IBR,Ibertour Servicios Aereos
IBT,Ibertrans Aerea
IWD,Iberworld
IBX,Ibex Airlines
IBC,Ibicenca Air
AKI,Ibk-Petra
RAC,Icar Air
FRC,Icare Franche Compte
ICD,Icaro
ICA,Icaro
IUS,Icarus
ICJ,Icejet
ICE,Icelandair
ICG,Icelandic Coast Guard
IKR,Ikaros DK
CIO,Il Ciocco International Travel Service
ILV,Il-Avia
IDL,Ildefonso Redriguez
IAR,Iliamna Air Taxi
ILP,Ilpo Aruba Cargo
ILL,Ilyich-Avia
IMR,Imaer
ITX,Imair Airlines
PNX,Imperial Airways
IMT,Imtrec Aviation
IDE,Independence Air
IDP,Independent Air Freighters
IGO,IndiGo Airlines
IIL,India International Airways
IFC,Indian Air Force
IAC,Indian Airlines
IDR,Indicator Company
IBU,Indigo
IDA,Indonesia Air Transport
AWQ,Indonesia AirAsia
IAA,Indonesian Airlines
IPN,Industri Pesawat Terbang Nusantara
ITN,Industrias Titan
FFI,Infinit Air
INS,Inflite The Jet Centre
IVA,Innotech Aviation
INC,Insel Air International
ICC,Instituto Cartografico de Cataluna
INT,Intair
INL,Intal Avia
FFL,Intavia Limited
IJT,InteliJet Airways
XRA,Intensive Air
ITW,Inter Air
INX,Inter Express
IIN,Inter Islands Airlines
CAR,Inter RCA
NTT,Inter Tropic Airlines
ITA,Inter-Air
ICN,Inter-Canadian
UGL,Inter-Island Air
IMA,Inter-Mountain Airways
ITS,Inter-State Aviation
ILN,Interair South Africa
NTE,Interaire
SUW,Interavia Airlines
IVT,Interaviatrans
ICT,Intercontinental de Aviaci
ICP,Intercopters
IFT,Interflight
IJT,Interflight (Learjet)
RFL,Interfly
IFF,Interfreight Forwarding
IGN,Interguide Air
ISN,Interisland Airlines
IWY,Interisland Airways Limited
MTF,Interjet
IHE,Interjet Helicopters
ITK,Interlink Airlines
IAK,International Air Cargo Corporation
EXX,International Air Corporation
IAS,International Air Service
IAX,International Air Services
IBZ,International Business Air
IBY,International Business Aircraft
ICS,International Charter Services
ICX,International Charter Xpress
RED,International Committee of the Red Cross
IIG,International Company for Transport
IFX,International Flight Training Academy
IJA,International Jet Aviation Services
HSP,International Jet Charter
RSQ,International SOS WIndhoek
ISF,International Sabilisation Assistance Force
THN,International Security Assistance Force
ITH,International Trans-Air
IPT,Interport Corporation
IKY,Intersky
ISK,Intersky
FWA,Interstate Airline
ITU,Intervuelos
INV,Inversija
IND,Iona National Airways
IOA,Iowa Airways
IRA,Iran Air
IRC,Iran Aseman Airlines
IRB,Iranair Tours
IRG,Naft Air Lines
IAW,Iraqi Airways
BIS,Irbis Air
IRL,Irish Air Corps
RDK,Irish Air Transport
XMR,Irish Aviation Authority
IRT,Irtysh Airlines
XIA,Irving Oil
KCE,Irving Oil Transport
ISI,Island Air
ILF,Island Air Charters
XYZ,Island Air Express
,Island Airlines
SOY,Island Aviation
DQA,Island Aviation Services
IOM,Island Aviation and Travel
SDY,Island Express
CGP,Cargo Plus Aviation
MTP,Island Helicopters
ILC,Island Link
IAJ,Islandair Jersey
,Islands Nationair
ICB,Icebird Airline
ISW,Islas Airways
IGS,Isle Grande Flying School
ISV,Islena De Inversiones
IOS,Isles of Scilly Skybus
IAI,Israel Aircraft Industries
IAF,Israeli Air Force
ISR,Israir
IST,Istanbul Airlines
ACL,Itali Airlines
IFS,Italy First
IKA,Itek Air
IVS,Ivoire Aero Services
IVW,Ivoire Airways
IJE,Ivoire Jet Express
OIC,Iwamoto Crane Co Ltd
IXR,Ixair
IZM,Izair
IZA,Izhavia
JCB,J C Bamford (Excavators)
RFX,J P Hunt Air Carriers
JLJ,J-Air
JEX,JAL Express
JAZ,JALways
JDA,JDAviation
JDP,JDP Lux
JHM,JHM Cargo Expreso
TQM,JM Family Aviation
JMC,JMC Airlines
,JSC Transport Automated Information Systems
JSJ,JS Air
JES,JS Aviation
JCK,Jackson Air Services
JAE,Jade Cargo International
JAW,Jamahiriya Airways
JMB,Jambo Africa Airlines
JAK,Jana-Arka
JAX,Janair
JAC,Japan Air Commuter
JSV,Japan Aircraft Service
JAL,Japan Airlines
JAL,Japan Airlines Domestic
JAA,Japan Asia Airways
JTA,Japan Transocean Air
JAT,Jat Airways
JTY,Jatayu Airlines
JZR,Jazeera Airways
JJA,Jeju Air
JNY,Jenney Beechcraft
XLD,Jeppesen Data Plan
JPN,Jeppesen UK
JEA,Jet Air
JSI,Jet Air Group
JAI,Jet Airways
,Jet Airways
JTX,Jet Aspen Air Lines
PJS,Jet Aviation
BZF,Jet Aviation Business Jets
JCF,Jet Center Flight Training
JCT,Jet Charter
,Jetclub
JCX,Jet Connection
DWW,Jet Courier Service
JED,Jet East International
JEI,Jet Executive International Charter
RZA,Jet Fighter Flights
CFT,Jet Freighters
JGD,Jet G&D Aviation
MJL,Jet Line International
JEK,Jet Link
HTL,Jet Link Aviation
JNR,Jet Norte
JRN,Jet Rent
JDI,Jet Service
JSA,Jetstar Asia Airways
JSM,Jet Stream
JTC,Jet Trans Aviation
JTT,Jet-2000
OPS,Jet-Ops
EXS,Jet2.com
JFU,Jet4You
OSW,JetAfrica Swaziland
JBU,JetBlue Airways
QNZ,JetConnect
JMG,JetMagic
JAF,Jetairfly
JTL,Jetall Holdings
JAG,Jetalliance
JCS,Jetclub
UEJ,Jetcorp
JCC,Jetcraft Aviation
JXA,Jetex Aviation
JEF,Jetflite
JFL,Jetfly Airlines
JIC,Jetgo International
JLX,Jetlink Express
JLH,Jetlink Holland
JNV,Jetnova de Aviacion Ejecutiva
JPO,Jetpro
MDJ,Jetran Air
JRI,Jetrider International
JEJ,Jets Ejecutivos
JEP,Jets Personales
JSE,Jets Y Servicios Ejecutivos
JGO,JetsGo
JST,Jetstar Airways
JSH,Jetstream Air
JXT,Jetstream Executive Travel
JPQ,Jett Paqueteria
JEC,Jett8 Airlines Cargo
JTG,Jettime
JTN,Jettrain Corporation
JWY,Jetways of Iowa
JXX,Jetx Airlines
JIB,Jibair
JSW,Jigsaw Project
HKN,Jim Hankins Air Service
RAS,Jim Ratliff Air Service
JDG,Joanas Avialinijos
JBR,Job Air
JHN,Johnson Air
JON,Johnsons Air
JMJ,Johnston Airways
JMM,Joint Military Commission
JMT,Jomartaxi Aereo
ODI,Jonsson
JAV,Jordan Aviation
JCI,Jordan International Air Cargo
JVK,Jorvik
JUR,Ju-Air
JFS,Juanda Flying School
JUC,Juba Cargo Services & Aviation Company
JUB,Jubba Airways
DKE,Jubilee Airways
DKH,Juneyao Airlines
MEY,Justair Scandinavia
DOJ,Justice Prisoner and Alien Transportation System
KDC,K D Air Corporation
KSA,K S Avia
KMI,K-Mile Air
KNI,KD Avia
KLC,KLM Cityhopper
KLH,KLM Helicopter
KLM,KLM Royal Dutch Airlines
QNK,Kabo Air
KMC,Kahama Mining Corporation
KAI,Kaiser Air
CKS,Kalitta Air
KFS,Kalitta Charters
KES,Kallat El Saker Air Company
KMF,Kam Air
KMP,Kampuchea Airlines
KIZ,Kanaf-Arkia Airlines
KHE,Kanfey Ha'emek Aviation
KSU,Kansas State University
AKT,Karat
KRB,Karibu Airways Company
KLG,Karlog Air Charter
KAJ,Karthago Airlines
KAE,Kartika Airlines
KTV,Kata Transportation
KTK,Katekavia
KAT,Kato Airline
MVD,Kavminvodyavia
XKA,Kavouras Inc
KRN,Kaz Agros Avia
KAW,Kaz Air West
KAO,Kazan Aviation Production Association
KPH,Kazan Helicopters
KKA,Kazavia
KZS,Kazaviaspas
JFK,Keenair Charter -
KLX,Kelix Air
FKL,Kelner Airways
KFA,Kelowna Flightcraft Air Charter
KDA,Kendell Airlines
KEN,Kenmore Air
KBA,Kenn Borek Air
KAH,Kent Aviation
KQA,Kenya Airways
KVS,Kevis
KEY,Key Airlines
LYM,Key Lime Air
FTP,Keystone Aerial Surveys
KEE,Keystone Air Services
KZW,Khalifa Airways
WKH,Kharkov Aircraft Manufacturing Company
KHR,Khazar
KHP,Khoezestan Photros Air Lines
KRV,Khoriv-Avia
KHO,Khors Aircompany
KHY,Khyber Afghan Airlines
UAK,Kiev Aviation Plant
KNG,King Aviation
BEZ,Kingfisher Air Services
KFR,Kingfisher Airlines
KNX,Knighthawk Air Express
KAS,Kingston Air Services
KIP,Kinnarps
KNS,Kinshasa Airways
KTA,Kirov Air Enterprise
IRK,Kish Air
KHA,Kitty Hawk Aircargo
KHC,Kitty Hawk Airways
